aback|unexpected; surprised and disconcerted
inure|to accustom to hardship, difficulty, pain, etc.; toughen or harden; habituate
invective|vehement or violent denunciation, censure or reproach; a railing accusation; vituperation
inveigle|trick by using flattery, deception
inveterate|settled or confirmed in a habit, practice, feeliing or the like; firmly established by long continuance, as a disease, habit; chronic
invidious|(adjective) likely to cause resentment
inviolable|(adjective) never to be broken, infringed, or dishonored
inviolate|(adjective) must be kept sacred
involved|(adjective) complicated, and difficult to comprehend
invulnerable|adj. indestructible, impervious to harm
irascible|easily provoked to anger; very irritable; characterized or produced by anger
ire|intense anger; wrath
irenic|tending to promote peace or reconciliation; peaceful or conciliatory
irksome|tiresome
irk|(verb) irritate or vex
irreconcilable|cannot be brought into harmony
irrefutable|(adjective) impossible to deny or disprove
irrelevant|not relevant, not connected
irresolute|(adjective) uncertain how to act or proceed
irrevocable|final and unalterable
itinerant|(adjective) traveling from place to place to work
itinerary|plan for a journey, details or records of a route
jabber|talk excitedly; utter rapidly
jabberwocky|nonsense
jaded|spent, bored with one's situation
jangling|to produce a harsh, discordant sound, as two comparatively small, thin or hollow pieces of metal hitting together; to speak angrily; wrangle
jargon|specialize vocabulary
jaundice|(adjective) to be biased against due to envy or prejudice
jaundiced|biased, embittered
jeer|mock
jejune|without interest or significance; dull; insipid; juvenile; immature; childish
jeremiad|a prolonged lamentation or mournful complaint
jilt|to reject or cast aside (a lover or sweetheart), esp. abruptly or unfeelingly
jingoism|(noun) fanatical patriotism
jingoistic|nationalistic, warmongering
jingoist|(noun) a person who thinks that their country should be at war
jocular|given to, characterized by, intended for, or suited to joking or jesting; waggish; facetious
jocund|cheerful; merry; gay; blithe; glad
jostle|push, brush against
journeyman|reliable worker
joust|combat between knights on horses
jovial|(adjective) full of or showing high-spirited merriment
jubilant|in high spirits
judicious|prudent
juggernaut|unstoppable force
jugular|the throat
juncture|pivotal point in time
junoesque|(of a woman) stately; regal
junta|small ruling group
jurisdiction|the right, power, or authority to administer justice by hearing and determining controversies
jurisprudence|the science or philosophy of law; a body or system of laws
juvenescent|being or becoming youthful; young; young in appearance
juxtapose|(verb) place side by side
juxtaposition|an act or instance of placing close together or side by side, esp. for comparison or contrast
ken|purveiw, range of comprehension
kindle|arouse, inspire
kindred|a group of persons related to another; family, tribe, or race
kinetic|pertaining to motion
kismet|fate; destiny
kite|bad check; a person who preys on others; sharper
kitsch|trashy art
kleptomania|impulse to steal
knave|a con man; an unprincipled, untrustworthy, or dishonest person
knell|the sound made by a bell rung slowly, esp. for a death or a funeral
kowtow|behave obsequiously; to show servile deference (in the form of touching one's forehead to the ground while kneeling, as an act of worship, reverence or apology)
kudos|acclaim
kvetch|to complain, esp. chronically
laborious|(adjective) characterized by effort to the point of exhaustion; especially physical effort
lacerate|(verb) deeply hurt the feelings of; distress
lachrymose|(adjective) showing sorrow
lackluster|(of eyes) dull
laconic|using few words; expessing much in few words; concise
lacuna|a gap or missing part, as in a manuscript, series, or logical argument; hiatus
lag|go too slow
lambast|(verb) criticize severely or angrily
lampoon|(verb) ridicule with satire
languid|lacking in vigor or vitality; slack or slow
languish|(verb) become feeble
lapidary|engraved in stone; art of cutting stones or engraving on them
largess|(noun) extreme generosity and givinggre.magoosh.com/flashcards
lascivious|(adjective) lecherous; sexually perverted
latent|present but not yet active, developed or visible
laudable|deserving praise; praisworthy
laudatory|expressing or giving praise
laud|v. to praise
lavish|giving or producing freely, liberally or generously
leakage|the process of leaking
leery|(adjective) openly distrustful and unwilling to confide
leitmotif|theme associated throughout a music drama with a particular person, situation, or idea
lethargic|(adjective) lacking energy
levity|lightness of mind, character, or behavior
lien|legal claim until a debt on it is repaid
ligate|to bind with or tie up (a bleeding artery or the like)
limpid|clear, transparent, or pellucid, as water, crystal, or air
limp|lacking strength, walking unevenly
lionize|(verb) assign great social importance to
litany|(noun) any long and tedious account of something
litigation|n. legal proceedings
loath|(adjective) unwillingness to do something contrary to your custom (usually followed by 'to')
loll|rest, to sit or stand in a lazy way; hang (dog.s tongue)
loquacious|talkative
lout|an awkward, stupid person; clumsy, ill-mannered bore; oaf
lubricant|substance that makes work easier
lubricate|put oil to make work easily
lucid|easily understood; completely intelligible or comprehensible
lucubration|laborious work, study, thought, etc., esp. at night; the result of such activity, as a learned speech or dissertation
lucubratory|to work, write, or study laboriously, esp. at night
lugubrious|mournful, dismal, or gloomy, esp. in an affected, exaggerated, or unrelieved manner
lull|become quiet or less active
luminary|a celestial body, as the sun or moon; object that gives light
luminous|adj. full of light
lumpen|of or pertaining to disfranchised and uprooted individuals or groups, esp. those who have lost status
macabre|gruesome, suggesting death
machinate|(verb) engage in plotting or enter into a conspiracy, swear together
machination|an act or instance of crafty schemes, plots; intrigues
magisterial|(adjective) offensively self-assured or given to exercising unwarranted power
magnanimity|n. generosity and nobility of spirit
magnanimous|(adjective) noble and generous in spirit, especially towards a rival or someone less
maintain|(verb) to assert
maladroit|unskillful, awkward, tactless; lacking in skill
malady|(noun) a disease or sickness
malaise|a condition of general bodily weakness or discomfort, often marking the onset of a disease
malapropism|misuse of a word (for one that resembles it)
malapropos|inappropriate; out of place; inopportune; untimely
malevolent|(adjective) wishing or appearing to wish evil to others; arising from intense ill will or hatred
malfeasance|(adjective) misconduct or wrongdoing (especially by a public official)
malign|to speak harmful untruths about; speak evil of; slander; defame
malingerer|(noun) someone shirking their duty by pretending to be sick or incapacitated
malleable|(adjective) capable of being shaped or bent or drawn out
malodorous|smelling very unpleasant
mantlet|large shield or portable shelter used for stopping arrows
manumit|to release from slavery or servitude
martial|brave, of associated with war
martinet|(noun) a strict disciplinarian
massacre|cruel killing of a large number of people
masticate|to chew; to reduce to a pulp by crushing or kneading, as rubber
matriculation|be admitted, enter a university as a student
mature|come to full development, to a state ready for use
matutinal|pertaining to or occurring in the morning; early in the day
maudlin|tearfully or weakly emotional; foolishly sentimental
maunder|to talk incoherently; to speak in a rambling manner; to wander aimlessly or confused
maverick|(noun) someone who exhibits great independence in thought and action
mawkish|(adjective) overly sentimental to the point that it is disgusting
maxim|(noun) a short saying expressing a general truth
meander|(verb) to wander aimlessly
mein|wrong-doing, harm or wickedness
melancholy|(noun) a deep, long-lasting sadness
melee|(noun) a wild, confusing fight or struggle
mellifluous|(adjective) smooth and sweet-sounding
mendacious|telling lies, esp. habitually; dishonest; lying; untruthful
mendacity|(noun) the tendency to be untruthful
mendicant|begging; practicing begging; living on alms
mercurial|lively, quick-witted; inconsistent, changeable
meretricious|alluring by a show of flashy or vulgar actions; tawdry; based on pretense, deception or insincerity; pertaining to or characteristic of a prostitute
mesmerize|(verb) to spellbind or enthrall
mete|dispense or allot justice or a punishment
meteoric|(adjective) like a meteor in speed or brilliance or transience
meticulous|(adjective) marked by extreme care in treatment of details
mettlesome|(adjective) filled with courage or valor
mien|air, bearing or demeanor, as showing character, feeling etc
mimetic|haracterized by, exhibiting, or of the nature of imitation or mimicry
misanthrope|(noun) a hater of mankind
misattribute|(verb) To erroneously attribute; to falsely ascribe; used especially of authorship.
miscegenation|marriage or cohabitation between a man and woman of different races, esp., in the U.S., between a black and a white person
mischievous|harmful, causing mischief
misconstrue|(verb) interpret in the wrong waygre.magoosh.com/flashcards
miscreant|(noun) a person who breaks the law
miser|person who loves wealth and spends little
misogynist|(noun) a person who dislikes women in particular
missile|something that is thrown or shot
missive|a written message; a letter
mitigate|(verb) make less severe or harsh
moderation|quality of being limited, not extreme
modest|adj. not boastful adj. not overly showy
modicum|(noun) a small or moderate or token amount
moil|to work hard; drudge; to whirl or churn ceaselessly; twist; eddy
mollify|to soften in feeling or temper, as a person; pacify; appease
molt|moult, lose hair, feathers before new growing
moment|(noun) significant and important value
monotony|n. boredom and repetition
moot|(adjective) open to argument or debate; undecidable in a meaningless or irrelevant way
morbid|diseased, unhealthy (eg. about ideas)
mordant|(adjective) biting and caustic in thought, manner, or style
moribund|in a dying state; at the point of death; becoming obsolete or inactive
morose|ill-tempered, unsocial
morph|(verb) To undergo dramatic change in a seamless and barely noticeable fashion.
mortuary|place where dead bodies are taken to be kept until burial
mulct|to deprive (someone) of something, as by fraud, extortion, etc.; swindle
multifarious|having many different parts, elements, forms, etc.
mundane|of or pertaining to this world or earth as contrasted with heaven; common; ordinary; banal; unimaginative
munificent|(adjective) very generous
muted|(adjective) softened, subdued
myopic|(adjective) lacking foresight or imagination
myriad|(noun) a large indefinite number
myrmidon|person who executes without question or scruple a master's commands
nadir|(noun) the lowest point
naïve|adj. inexperienced or gullible
nascent|beginning to exist or develop
nebbish|a pitifully ineffectual, luckless, and timid person
neglect|v. to abandon or leave uncared-for
negligent|guilt of or characterized by carelessneess
negligible|(adjective) so small as to be meaningless; insignificant
neologism|a new word, meaning, usage, or phrase
ne plus ultra|the highest point; acme
nettlesome|(adjective) causing irritation or annoyance
noisome|offensive, disgusting (smell)
nonagenarian|of the age of 90 years, or between 90 and 100 years old
nonage|the period of legal minority, or of an age below 21
nonchalant|(adjective) coming across as cooly uninterested
nonpareil|having no equal; peerless; a person or thing having no equal
nonplussed|to render utterly perplexed; puzzle completely; greatly surprised
nonplus|to render utterly perplexed; puzzle completely
Note|
notoriety|n. fame for doing something negative or criminal
noxious|harmful or injurious to health or physical well-being
nuance|(noun) a subtle difference in meaning or opinion or attitude
nuptial|of or pertaining to marriage or the marriage ceremony
obdurate|stubbornly refusing to change one's opinion or course of action
obfuscate|to confuse, bewilder, or stupefy
objurgate|(verb) express strong disapproval of
oblation|the offering to God of the elements of bread and wine in the Eucharist
obliging|(adjective) showing a cheerful willingness to do favors for others
oblique|(adjective) not straightforward; indirect
obscure|(verb) make unclear
obsequious|too eager to obey or serve
obstinate|(adjective) resistant to guidance or discipline; stubbornly persistent
obstreperous|(adjective) noisily and stubbornly defiant; willfully difficult to control
obtain|(adjective) be valid, applicable, or true
obtuse|not quick or alert in perception, feeling, or intellect; not sensitive or observant; dull
obviate|to anticipate and prevent or eliminate (difficulties, disadvantages, etc.) by effective measures; render unnecessary
occlude|v. to block or obstruct
occult|n. the mystical and supernatural
odious|extremely unpleasant, repulsive
officious|ready to serve; obliging; objectionably agressive in offering one's unrequested and unwanted services
offset|v. to counterbalance or counteract
olfactory|adj. relating to smell or the sense of smell
olla podrida|an incongruous mixture or miscellany
omnipotent|almighty or infinite in power, as God.
omnipresent|present everywhere at the same time
omniscience|n. the quality or state of being all-knowing
omniscient|having complete or unlimited knowledge, awareness, or understanding; perceiving all things
onerous|burdensome, oppresive, or troublesome; causing hardship
opaque|(adjective) not clearly understood or expressed
opportunism|n. the practice of taking advantage of opportunities as they arise without particular concern for morality or ethics
opprobrious|outrageously disgraceful or shameful
opprobrium|the disgrace or the reproach incurred by conduct considered outrageously shameful
opulence|(noun) wealth as evidenced by sumptuous living
ornate|(adjective) marked by elaborate rhetoric and elaborated with decorative detailsgre.magoosh.com/flashcards
oscillate|v. to swing back and forth between two points, poles, or positions
ossify|to convert into or cause to harden like bone
ostensible|outwardly appearing as such; professed; pretended
ostentation|display to obtain admiration or envy
ostentatious|fond of
ostracism|shut out from society, refuse to meet, talk
ostracize|(verb) exclude from a community or group
ostrich|fast-running bird unable to fly
otiose|being at leisure; idle; indolent; useless
outset|start
outstrip|v. to overtake or outrun
overhaul|examine thoroughly to learn about the condition
overshadow|v. to literally cast a shadow over v. to appear more notable than
overweening|overbearing; immodest; arrogant - excessive or exaggerated
overwhelm|weigh down, submerge
pacify|to bring or restore to a state of peace or tranquillity; quiet; calm
painstaking|adj. attentive to detail, meticulous
palatable|(adjective) acceptable to the taste or mind
palaver|(verb) speak (about unimportant matters) rapidly and incessantly
palimpsest|(noun) something that has been changed numerous times but on which traces of former
palindrome|a word, line, verse, number, sentence, etc., reading the same backward as forward
palliate|to relieve or lessen without curing; mitigate; alleviate
palpability|can be felt, touched, understood
palpitate|tremble, beat rapidly and irregularly
panacea|a remedy for all disease or ills; cure-all
panache|(noun) distinctive and stylish elegance
panegyric|(noun) a formal expression of praisegre.magoosh.com/flashcards
panjandrum|a self-important or pretentious official
pantheon|a public building containing tombs or memorials of the illustrious dead of a nation
paradoxical|(adjective) seemingly contradictory but nonetheless possibly true
paragon|(noun) model of excellence or perfection of a kind; one having no equal
parenthesis|sentense within another one, something separated
pariah|(noun) an outcast
pari passu|with equal pace or progress; side by side; fairly
parochial|(adjective) narrowly restricted in scope or outlook
paroxysm|any sudden, violent outburst; a fit of violent action or emotion
parse|to analyze (a sentence) in terms of grammatical constituents, identifying the parts of speech, syntactic relations, etc
parsimonious|too economical, miserly
partial|adj. incomplete
partisan|n. a devoted supporter of a group, cause, or person
parvenu|(noun) a person who has suddenly become wealthy, but not socially accepted as part of a
pastiche|a literary, musical, or artistic piece consisting wholly or chiefly of motifs or techniques borrowed from one or more sources
pastoral|(adjective) relating to the countryside in a pleasant sense
patent|(adjective) glaringly obvious
patronize|(verb) treat condescendingly
paucity|(noun) a lack of something
pavone|a peacock
peccadillo|small sin; small weakness in one.s character
pecuniary|of or pertaining to money
pedantic|(adjective) marked by a narrow focus on or display of learning especially its trivial aspects
pedestrian|(adjective) lacking imagination
peevish|cross, querulous, or fretful, as from vexation or discontent
pejorative|(adjective) expressing disapproval (usu. refers to a term)
pellucid|transparent; clear; easily understandable
penchant|taste, liking, inclination
penultimate|second to last
penurious|(adjective) lacking money; poor
penury|poverty
percipient|(adjective) highly perceptive
peremptory|leaving no opportunity for denial or refusal; imperative; dictatorial
perennial|lasting for a long time (eg. a year)
perfervid|very fervent; extremely ardent; impassioned
perfidious|treacheres, faithless
perfidy|deliberate breach of faith or trust; faithlessness; treachery
perforce|of necessity; necessarily; by force of circumstance
perfunctory|performed merely as a routine duty; hasty and superficial; lacking interest or care
peripatetic|(adjective) traveling by foot
peripheral|adj. on the edge or periphery; not centrally important
perjury|the willful giving of false testimony under oath or affirmation, before a competent tribunal, upon a point material to a legal inquiry
permeate|v. to pervade or penetrate throughout
pernicious|causing insidious harm or ruin; ruinous; hurtful
perpetuate|(verb) cause to continue
perquisite|(noun) a right reserved exclusively by a particular person or group (especially a hereditary or
perseverance|n. persistence in the face of obstacles
persevere|keep on steadily, continue
persiflage|light, bantering talk or writing
perspicacious|(adjective) acutely insightful and wise
perspicacity|keenness of mental perception and understanding; discernment; penetration
pertain|belong as a part, have reference
pertinacious|holding tenaciously to a purpose, course of action, or opinion; resolute
pertinent|(adjective) having precise or logical relevance to the matter at hand
perturb|to disturb or disquiet greatly in mind; agitate
peruse|(verb) to read very carefully
pervasive|adj. found everywhere, widespread; often has a negative connotation
pest|destructive thing or a person who is nuisance
pettifogger|A petty, unscrupulous lawyer; a shyster
petulant|unreasonably impatient
phantasmagoria|a changing scene made up of many elements
phantasmagorical|(adjective) illusive; unreal
phenomena|n. things that happen
philistine|(adjective) smug and ignorant towards artistic and cultural values
phlegmatic|(adjective) showing little emotion
physiognomy|the face or countenance, esp. when considered as an index to the character
picayune|(adjective) trifling or petty (a person)
pied|of mixed colors
pillorying|attack or ridicule
pillory|(verb) ridicule or expose to public scorn
pinch|be too tight, take between the thumb and finger
pine|(verb) to yearn for
pinnacle|(noun) the highest point
pinnate|having leaflets arranged on either side of the stem
pious|dutifull to parents; devoted to religion
piquant|(adjective) having an agreeably pungent taste
pique|hirt the pride or self-respect, stir (curiosity)
pis aller|a course of action followed as a last resort
pissoir|a pubic urinal
pitfall|covered hole as a trap, unsuspected danger
pith|essential part, force, soft liquid substance
pithy|(adjective) concise and full of meaning
pittance|(noun) a small amount (of money)
placate|soothe, pacify, calm
placid|(adjective) not easily irritated
plangent|resounding loudly, esp. with a plaintive sound, as a bell
plaque|flat metal on a wall as a memorial
plastic|adj. easily shaped or molded adj. made of plastic
platitude|(noun) a trite or obvious remark
plausible|adj. believable, reasonable
plead|address a court of law as an advocate
plea|request
plenipotentiary|a person, esp. a diplomatic agent, invested with full power or authority to transact business on behalf of another
plethora|glut
pliant|pliable, easile bent, shaped or twisted
plod|continue doing something without resting
plodding|(adjective) (of movement) slow and laborious
ploy|(noun) a clever plan to turn a situation to one's advantage
pluck|pull the feathers off, pick (eg. flowers)
plucky|(adjective) marked by courage and determination
plummet|fall, plunge, steeply
plunge|move quickly, suddenly and with force
pogrom|an organized massacre, especially of Jews
poignant|keenly distressing to the feelings; keen or strong in mental appeal; pungent to the smell
poise|be ready, be balanced, self-possession
polarize|v. to cause a sharp division between two groups
polemical|a controversial argument, as one against some opinion or doctrine; a person who argues in opposition to another
polemic|(noun) a strong verbal or written attack on someone or something.
politic|shrewd or prudent in practical matters; tactful; diplomatic
Pollyannaish|(adjective) extremely optimisticgre.magoosh.com/flashcards
poltroon|a wretched coward; craven; marked by utter cowardice
polyglot|able to speak or write several languages; multilingual
polymath|a person of great learning in several fields of study; polyhistor
ponderous|heavy, bulky, dull
pontificate|to speak in a pompous or dogmatic manner
portentous|(adjective) ominously prophetic
posit|(verb) assume as fact
postprandial|after a meal, esp. after dinner
posture|state, attitude; adopt a vain
potboiler|a mediocre work of literature or art produced merely for financial gain
poverty|state of being poor
powwow|(noun) an informal meeting or discussion
pragmatic|(adjective) guided by practical experience and observation rather than theory
precarious|(adjective) fraught with danger
preceded|adj. went before
precedent|(noun) an example that is used to justify similar occurrences at a later timegre.magoosh.com/flashcards
precept|moral instruction
precipice|a cliff with a vertical, nearly vertical, or overhanging face
precipitate|cause usually a bad event to happen suddenly
precipitous|(adjective) done with very great haste and without due deliberationgre.magoosh.com/flashcards
preclude|(verb) keep from happening or arising; make impossible
precocious|(adjective) characterized by or characteristic of exceptionally early development or maturity
precursor|n. a forerunner
precursory|peliminary, anticipating
predilection|special liking, mental preference
preemptive|(adjective) done before someone else can do it
preempt|obtain by preemption or in advance
premature|doing or happening something before the right time
prepotency|the ability of one parent to impress its hereditary characters on its progeny because it possesses more homozygous, dominant, or epistatic genes
presage|warning sign
prescience|(noun) the power to foresee the future
prescient|adj. knowing things before they happen, prophetic
presentiment|a feeling or impression that something is about to happen, esp. something evil; foreboding
prestidigitation|magic tricks performed as entertainment, a slight of hand
presumption|(noun) an assumption that is taken for granted
presumptuous|(adjective) excessively forward
prevail|(verb) be widespread in a particular area at a particular time; be current
prevaricate|to speak falsely or misleadingly; deliberately misstate or create an incorrect impression; lie
primacy|(noun) the state of being first in importance
primogeniture|the state or fact of being the firstborn of children of the same parents
pristine|having its original purity; primitive
probity|(noun) integrity, strong moral principles
procrastination|keeping on putting off
prodigal|(adjective) rashly or wastefully extravagant
prodigious|enormous, wonderful
profane|wordly, having contempt for God
proffer|To offer for acceptance; tender
profligate|recklessly wasteful; openly and shamelessly immoral; dissolute; dissipated
profundity|depth
profuse|spending or giving freely and in large amount, often to excess; extravagant
profusion|(noun) the property of being extremely abundant
prognostication|(noun) a statement made about the future
prolegomenon|an introductory essay
proliferate|grow, reproduce by rapid; multification
prolific|(adjective) intellectually productive
prolixity|(noun) boring verbosity
prolix|tiring because too long
promulgate|(verb) state or announce
pronunciamento|a proclamation; manifesto; edict
propagation|increasing the number, spreading, extending
propitiate|to make favorably inclined; appease; conciliate
propitious|(adjective) presenting favorable circumstances; likely to result in or show signs of success
proponent|(noun) a person who pleads for a cause or propounds an idea
propriety|n. appropriateness, manners, decorum
prosaic|(adjective) dull and lacking imagination
proscribe|to denounce or condemn (a thing) as dangerous or harmful; prohibit
proselytize|to convert or attempt to convert as a proselyte; recruit
prospective|adj. potential or likely adj. applicable to the future
protean|(adjective) readily taking on different roles; versatile
protraction|prolongation; extension
provident|(adjective) careful in regard to your own interests; providing carefully for the future
providential|opportune, fortunate, or lucky
provincial|(adjective) characteristic of the a limited perspective; not fashionable or sophisticated
provisional|(adjective) under terms not final or fully worked out or agreed upon
prudence|careful forethought
prudish|easily shocked, excessively modest
prune|cut away part in order to control growth
puerile|(adjective) of or characteristic of a child; displaying or suggesting a lack of maturity
pugnacious|inclined to quarrel or fight readily; quarrelsome; combative
puissant|(adjective) powerful
pukka|genuine, reliable, or good; proper
pule|to cry in a thin voice; whine; whimper
punch|strike with the fist; tool for cutting holes; alc. drink
punctilio|a fine point, particular, or detail, as of conduct, ceremony, or procedure
punctilious|strict or exact in the observance of the formalities or amenities of conduct or actions
pundit|pedant, authority on a subject
pungency|sharpness
purblind|nearly or partially blind; dim-sighted; slow or deficient in understanding, imagination, or vision
pusillanimous|lacking courage or resolution; cowardly; faint-hearted; timid
putsch|a plotted revolt or attempt to overthrow a government, esp. one that depends upon suddenness and speed
pyre|large pile of wood for burning
pyrrhic|(adjective) describing a victory that comes at such a great cost that the victory is not worthwhile
Pyrrhic victory|A victory achieved at great or excessive cost; a ruinous victory
quack|person dishonestly claiming to something
quagmire|an area of miry or boggy ground whose surface yields under the tread; a bog
quail|(verb) draw back, as with fear or pain
qualification|n. credential n. a modifying statement
qualify|(adjective) to be legally competent or capable
qualm|feeling of doubt, temporary feeling of sickness in the stomach
qualms|feelings of doubt, sickness in the stomach
quandary|a state of perplexity or uncertainty, esp. as to what to do; dilemma
quell|suppress, subdue
quench|to slake, satisfy, or allay
querulous|(adjective) habitually complaining
quiescent|being at rest; quiet; still; inactive or motionless
quietus|discharge or release from life; a period of retirement or inactivity
quip|(noun) a witty saying or remark
quisling|(noun) a traitor
quixotic|generous, unselfish
quotidian|that which is common
raconter|person who tells anecdotes
raconteur|(noun) a person skilled in telling anecdotes
raffish|characterized by or suggestive of flashy vulgarity, crudeness or rowdiness; tawdry
raft|(noun) a large number of something
raillery|good-humored ridicule; banter
rakish|(adjective) marked by a carefree unconventionality or disreputableness
rampart|defensive wall of castle or walled city
rancorous|feeling bitterness, spitefulness
rankle|(verb) gnaw into; make resentful or angry
rapacious|greedy (esp for money)
rapprochement|an establishment or reestablishment of harmonious relations
rarefied|(verb) make more subtle or refined
rash|(adjective) marked by defiant disregard for danger or consequences; imprudently incurring risk
ratiocination|To reason methodically and logically
rationalize|v. to attempt to justify with reasons that are only superficially valid
ravenous|(adjective) extremely hungry; devouring or craving food in great quantities
rebuke|(verb) criticize severely or angrily; censure
recalcitrant|resisting authority or control; not obedient or compliant; refractory
recapitulation|(noun) a summary (think of recap)
recast|to remodel or reconstruct; to form, fashion or arrange once again
recidivism|repeated or habitual relapse, as into crime
reciprocity|granting of privileges in return for similiar
recitals|a number of, performance of music
recluse|person who lives alone and avoids people
reconcile|(verb) make (one thing) compatible with (another)
recondite|hard to understand; abstruse
recreant|cowardly or craven; unfaithful, disloyal, or traitorous
recrimination|(noun) mutual accusations
recrudesce|(verb) to break out or happen again
recumbent|lying down; reclining; leaning
recuperate|become strong after illness, loss, exhaustion
redact|to put into suitable literary form; revise; edit
redeem|get back by payment; compensate
redolent|having a pleasant odor; fragrant
redoubtable|that is to be feared; formidable
redress|(noun) an act of making something right
refine|make or become pure, cultural
refractory|hard or impossible to manage; stubbornly disobedient
refute|(verb) prove to be false or incorrect
regale|to delight with something pleasing or amusing
rejoinder|an answer to a reply; response
rejuvenation|becoming young in nature or appearence
relapse|fall back again
relegate|(verb) assign to a lower position
relentless|adj. never stopping, constant
relevant|adj. relating to the topic or issue at hand
relinquish|give up
reluctant|unwilling or disinclined
remiss|(adjective) to be negligent in one"s duty
remonstrate|to say or plead in protest, objection, or disapproval
renege|(verb) fail to fulfill a promise or obligation
renovate|restore something to better condition
rent|regular payment for the use of something, division or split
repine|to be fretfully discontented; fret; complain
replete|(adjective) completely stocked or furnished with something
reprisal|(noun) a retaliatory action against an enemy in wartime
reproach|scold, upbraid
reprobate|(noun) a person who is disapproved of
reprove|to criticize or correct, esp. gently; to disapprove of strongly; censure
repudiate|to reject as having no authority or binding force
requite|repay, give in return
rescind|(verb) cancel officially
reservation|(noun) an unstated doubt that prevents you from accepting something wholeheartedly
resignation|(noun) the acceptance of something unpleasant that can't be avoided
resilience|quality of quickly recovering the proginal shape
resilient|springing back; rebounding; recovering readily from illness, depression or adversity
resolve|(verb) reach a conclusion after a discussion or deliberation
resonance|prolongation of sound by reflection; reverberation
respectively|adv. in the sequential order previously given
respite|(noun) a pause from doing something (as work)
resplendent|shining brilliantly; gleaming; splendid
restive|refusing to move; reluctant to be controlled
restorative|capable of renewing health or strength
resurgent|(adjective) rising again as to new life and vigor
resurrect|bring back into use
resuscitation|coming back to consciousness
reticent|reserved, in the habit of saying little
retinue|suite; a body of retainers in attendance upon an important personage (usually accompanying a high-ranking person)
retiring|(adjective) to be shy, and to be inclined to retract from company
retract|to draw back or in; to draw back within itself or oneself, fold up or the like
revere|have deep respect for
reverent|deeply respectful
rhetoric|n. the art of effective communication (written or verbal)
ribald|(adjective) humorously vulgar
rift|split, crack, dissension
rigor|strictness, severity or harshness as in dealing with people
rile|(verb) cause annoyance in; disturb, especially by minor irritations
riposte|a quick, sharp return in speech or action; counterstroke
risible|causing or capable of causing laughter; laughable; ludicrous
rivet|fix, take up, secure; matel pin
rivulet|a small stream; streamlet; brook
roborant|stengthening; a tonic
robust|strong and healthy; hardy; vigorous
rococo|style of architecture and decoration (france 1720); style of music; ornate or fluid in speech, literary style, etc.
roil|to render (water, wine etc) turbid by stirring up settlement; to stir up or disturb
rope|thick strong cord made by twisting
roseate|overly optimisitc; bright or cheerful
rotund|round in shape; plump; fat; full-toned or sonorous
roue|a dissolute and licentious man; rake
rout|defeat
row|(noun) an angry dispute
rudimentary|(adjective) being in the earliest stages of development; being or involving basic facts or
rustic|(adjective) characteristic of rural life; awkwardly simple and provincial
ruth|pity or compassion; sorrow or grief
sagacious|of keen penetration and judgement; discerning and judicious; knowing; shrewed and wise
sage|a profoundly wise person; a person famed for wisdom
salacious|lustful or lecherous; obscene; grossly indecent
salient|prominent or conspicuous; projecting or pointing outward; leaping or jumping
salubrious|favorable to or promoting health; healthful
salutary|wholesome; promoting or conducive to some beneficial pupose; healthful
sanctimonious|(adjective) making a show of being pious; holier-than-thou
sanction|authoritative permission or approval, as for an action
sanctum|a sacred or holy place
sangfroid|(noun) calmness or poise in difficult situations
sanguine|(adjective) cheerful; optimistic
sapid|having taste or flavor; palatable; agreeable to the taste
sardonic|mocking; cynical; sneering; characterized by bitter or scornful derision
sartorial|of or pertaining to clothing or style or manner of dress
satiate|to supply with anything to excess, so as to disgust or weary; surfeit
satiety|the state of being full or gratified to or beyond the point of satisfaction
saturnine|(adjective) morose or gloomy
satyr|a lascivious man; lecher; a mythical woodland deity, attendant on Bacchus; part human part horse
savant|person of great learning
savor|the quality in a substance that affects the sense of taste or smell; a particular taste or smell; power to excite or interest
savvy|(noun) a perceptive understanding
sawdust|tiny bits of wood
scabbard|a sheath for a sword 
scanty|meager; not adequate; lacking amplitude in extent or compass
scent|smell (esp pleasant)
schadenfreude|(noun) joy from watching the suffering of others
scintillating|(adjective) describes someone who is brilliant and lively
sciolism|superficial knowledge; A pretentious attitude of scholarship; superficial knowledgeability
scrabble|to scratch or scrape, as with the claws or hands; a scrawled or scribbled writing
screed|(noun) an abusive rant (often tedious)
scrupulous|having or showing a strict regard for what one considers right; principled
scurvy|diseased state of the blood caused by eating too much salt
seal|piece of wax, lead, etc stamped on the document
seclusion|solitude; retirement
secular|adj. of or relating to the world or worldly matters (as opposed to religious ones)
sediment|n. material that settles at the bottom of a body of water
sedition|incitement of discontent or rebellion against a government
sedulous|diligent in application or attention; persevering; assiduous
self-effacing|(adjective) reluctant to draw attention to yourself
semblance|(noun) an outward or token appearance or form that is deliberately misleadinggre.magoosh.com/flashcards
sententious|(adjective) to be moralizing, usually in a pompous sense
sentimental|(adjective) effusively or insincerely emotional, especially in art, music, and literature
sequence|succession, connected line of
sere|dry; withered
serendipity|an aptitude for making desirable discoveries by accident
serene|calm, peaceful or tranquil
serration|having a toothed edge
servile|like a slave, lacking independence
severance|a breaking off
shaft|arrow or spear, something long and narrow
shallow|little depth; not earnest
shard|a fragment, esp of broken earthenware
sheath|cover for the blade of a weapon or a tool
shove|push
